1748536366.194744 server started (2348): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1748536366.194774 on Darwin 24.5.0 Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122
1748536366.194781 using libevent 2.1.12-stable select
1748536366.194788 using utf8proc 2.10.0
1748536366.194793 using ncurses 6.5 20240427
1748536366.208508 cmdq_append <global>: [bind-key/0x1250255a0]
1748536366.208510 yylex_token: end at WS
1748536366.208512 yylex_token: bind
1748536366.208514 yylex_token: end at WS
1748536366.208516 yylex_token: -n
1748536366.208519 yylex_token: end at WS
1748536366.208521 yylex_token: WheelDownStatus
1748536366.208524 yylex_token: end at WS
1748536366.208526 yylex_token: next-window
1748536366.208529 cmd_parse_build_commands 0:0: bind
1748536366.208531 cmd_parse_build_commands 0:1: -n
1748536366.208535 cmd_parse_build_commands 0:2: WheelDownStatus
1748536366.208538 cmd_parse_build_commands 0:3 0:0: next-window
1748536366.208541 cmd_parse_build_commands 0:0: next-window
1748536366.208545 args_parse: flags end at 1 of 1
1748536366.208548 cmd_parse_build_commands: next-window
1748536366.208550 args_parse_flags: next -n
1748536366.208553 args_parse_flags: -n
1748536366.208555 args_parse_flags: next WheelDownStatus
1748536366.208557 args_parse: flags end at 2 of 4
1748536366.208559 args_parse: 2 = WheelDownStatus (type STRING)
1748536366.208562 args_parse: 3 = next-window (type COMMANDS)
1748536366.208567 cmd_parse_build_commands: bind-key -n WheelDownStatus { next-window }
1748536366.208570 cmdq_get_command: [bind-key/0x125025880] group 950
1748536366.208573 cmdq_append <global>: [bind-key/0x125025880]
1748536366.208579 yylex_token: end at WS
1748536366.208581 yylex_token: bind
1748536366.208585 yylex_token: end at WS
1748536366.208588 yylex_token: -n
1748536366.208590 yylex_token: end at WS
1748536366.208593 yylex_token: WheelUpStatus
1748536366.208597 yylex_token: end at WS
1748536366.208600 yylex_token: previous-window
1748536366.208603 cmd_parse_build_commands 0:0: bind
1748536366.208607 cmd_parse_build_commands 0:1: -n
1748536366.208609 cmd_parse_build_commands 0:2: WheelUpStatus
1748536366.208613 cmd_parse_build_commands 0:3 0:0: previous-window
1748536366.208617 cmd_parse_build_commands 0:0: previous-window
1748536366.208620 args_parse: flags end at 1 of 1
1748536366.208624 cmd_parse_build_commands: previous-window
1748536366.208627 args_parse_flags: next -n
1748536366.208629 args_parse_flags: -n
1748536366.208631 args_parse_flags: next WheelUpStatus
1748536366.208634 args_parse: flags end at 2 of 4
1748536366.208636 args_parse: 2 = WheelUpStatus (type STRING)
1748536366.208639 args_parse: 3 = previous-window (type COMMANDS)
1748536366.208644 cmd_parse_build_commands: bind-key -n WheelUpStatus { previous-window }
1748536366.208647 cmdq_get_command: [bind-key/0x125025bd0] group 958
1748536366.208649 cmdq_append <global>: [bind-key/0x125025bd0]
1748536366.208652 yylex_token: end at WS
1748536366.208654 yylex_token: bind
1748536366.208656 yylex_token: end at WS
1748536366.208658 yylex_token: -n
1748536366.208661 yylex_token: end at WS
1748536366.208663 yylex_token: MouseDown3StatusLeft
1748536366.208665 yylex_token: end at WS
1748536366.208667 yylex_token: display-menu
1748536366.208669 yylex_token: end at WS
1748536366.208671 yylex_token: -t=
1748536366.208674 yylex_token: end at WS
1748536366.208676 yylex_token: -xM
1748536366.208678 yylex_token: end at WS
1748536366.208680 yylex_token: -yW
1748536366.208682 yylex_token: end at WS
1748536366.208684 yylex_token: -T
1748536366.208687 yylex_token: end at WS
1748536366.208689 yylex_token: #[align=centre]#{session_name}
1748536366.208691 yylex_token: end at WS
1748536366.208693 yylex_token: Next
1748536366.208695 yylex_token: end at WS
1748536366.208697 yylex_token: n
1748536366.208700 yylex_token: end at WS
1748536366.208702 yylex_token: switch-client
1748536366.208704 yylex_token: end at }
1748536366.208706 yylex_token: -n
1748536366.208710 yylex_token: end at WS
1748536366.208712 yylex_token: Previous
1748536366.208714 yylex_token: end at WS
1748536366.208716 yylex_token: p
1748536366.208718 yylex_token: end at WS
1748536366.208720 yylex_token: switch-client
1748536366.208722 yylex_token: end at }
1748536366.208724 yylex_token: -p
1748536366.208727 yylex_token: end at WS
1748536366.208728 yylex_token: 
1748536366.208731 yylex_token: end at WS
1748536366.208733 yylex_token: Renumber
1748536366.208735 yylex_token: end at WS
1748536366.208737 yylex_token: N
1748536366.208739 yylex_token: end at WS
1748536366.208741 yylex_token: move-window
1748536366.208743 yylex_token: end at }
1748536366.208745 yylex_token: -r
1748536366.208748 yylex_token: end at WS
1748536366.208750 yylex_token: Rename
1748536366.208753 yylex_token: end at WS
1748536366.208755 yylex_token: n
1748536366.208758 yylex_token: end at WS
1748536366.208762 yylex_token: command-prompt
1748536366.208764 yylex_token: end at WS
1748536366.208767 yylex_token: -I
1748536366.208770 yylex_token: end at WS
1748536366.208773 yylex_token: #S
1748536366.208777 yylex_token: end at WS
1748536366.208779 yylex_token: rename-session
1748536366.208782 yylex_token: end at WS
1748536366.208785 yylex_token: --
1748536366.208789 yylex_token: end at }
1748536366.208792 yylex_token: %%
1748536366.208795 yylex_token: end at WS
1748536366.208797 yylex_token: 
1748536366.208800 yylex_token: end at WS
1748536366.208802 yylex_token: New Session
1748536366.208804 yylex_token: end at WS
1748536366.208806 yylex_token: s
1748536366.208809 yylex_token: end at }
1748536366.208811 yylex_token: new-session
1748536366.208813 yylex_token: end at WS
1748536366.208815 yylex_token: New Window
1748536366.208817 yylex_token: end at WS
1748536366.208822 yylex_token: w
1748536366.208825 yylex_token: end at }
1748536366.208827 yylex_token: new-window
1748536366.208830 cmd_parse_build_commands 0:0: bind
1748536366.208832 cmd_parse_build_commands 0:1: -n
1748536366.208834 cmd_parse_build_commands 0:2: MouseDown3StatusLeft
1748536366.208836 cmd_parse_build_commands 0:3 0:0: display-menu
1748536366.208838 cmd_parse_build_commands 0:3 0:1: -t=
1748536366.208840 cmd_parse_build_commands 0:3 0:2: -xM
1748536366.208843 cmd_parse_build_commands 0:3 0:3: -yW
1748536366.208845 cmd_parse_build_commands 0:3 0:4: -T
1748536366.208847 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{session_name}
1748536366.208849 cmd_parse_build_commands 0:3 0:6: Next
1748536366.208851 cmd_parse_build_commands 0:3 0:7: n
1748536366.208853 cmd_parse_build_commands 0:3 0:8 0:0: switch-client
1748536366.208856 cmd_parse_build_commands 0:3 0:8 0:1: -n
1748536366.208859 cmd_parse_build_commands 0:3 0:9: Previous
1748536366.208861 cmd_parse_build_commands 0:3 0:10: p
1748536366.208864 cmd_parse_build_commands 0:3 0:11 0:0: switch-client
1748536366.208866 cmd_parse_build_commands 0:3 0:11 0:1: -p
1748536366.208868 cmd_parse_build_commands 0:3 0:12: 
1748536366.208870 cmd_parse_build_commands 0:3 0:13: Renumber
1748536366.208872 cmd_parse_build_commands 0:3 0:14: N
1748536366.208874 cmd_parse_build_commands 0:3 0:15 0:0: move-window
1748536366.208876 cmd_parse_build_commands 0:3 0:15 0:1: -r
1748536366.208878 cmd_parse_build_commands 0:3 0:16: Rename
1748536366.208880 cmd_parse_build_commands 0:3 0:17: n
1748536366.208883 cmd_parse_build_commands 0:3 0:18 0:0: command-prompt
1748536366.208885 cmd_parse_build_commands 0:3 0:18 0:1: -I
1748536366.208887 cmd_parse_build_commands 0:3 0:18 0:2: #S
1748536366.208889 cmd_parse_build_commands 0:3 0:18 0:3 0:0: rename-session
1748536366.208892 cmd_parse_build_commands 0:3 0:18 0:3 0:1: --
1748536366.208894 cmd_parse_build_commands 0:3 0:18 0:3 0:2: %%
1748536366.208896 cmd_parse_build_commands 0:3 0:19: 
1748536366.208898 cmd_parse_build_commands 0:3 0:20: New Session
1748536366.208900 cmd_parse_build_commands 0:3 0:21: s
1748536366.208902 cmd_parse_build_commands 0:3 0:22 0:0: new-session
1748536366.208905 cmd_parse_build_commands 0:3 0:23: New Window
1748536366.208907 cmd_parse_build_commands 0:3 0:24: w
1748536366.208909 cmd_parse_build_commands 0:3 0:25 0:0: new-window
1748536366.208912 cmd_parse_build_commands 0:0: display-menu
1748536366.208914 cmd_parse_build_commands 0:1: -t=
1748536366.208916 cmd_parse_build_commands 0:2: -xM
1748536366.208918 cmd_parse_build_commands 0:3: -yW
1748536366.208920 cmd_parse_build_commands 0:4: -T
1748536366.208922 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1748536366.208924 cmd_parse_build_commands 0:6: Next
1748536366.208926 cmd_parse_build_commands 0:7: n
1748536366.208929 cmd_parse_build_commands 0:8 0:0: switch-client
1748536366.208931 cmd_parse_build_commands 0:8 0:1: -n
1748536366.208933 cmd_parse_build_commands 0:9: Previous
1748536366.208935 cmd_parse_build_commands 0:10: p
1748536366.208937 cmd_parse_build_commands 0:11 0:0: switch-client
1748536366.208939 cmd_parse_build_commands 0:11 0:1: -p
1748536366.208941 cmd_parse_build_commands 0:12: 
1748536366.208943 cmd_parse_build_commands 0:13: Renumber
1748536366.208945 cmd_parse_build_commands 0:14: N
1748536366.208948 cmd_parse_build_commands 0:15 0:0: move-window
1748536366.208950 cmd_parse_build_commands 0:15 0:1: -r
1748536366.208952 cmd_parse_build_commands 0:16: Rename
1748536366.208954 cmd_parse_build_commands 0:17: n
1748536366.208956 cmd_parse_build_commands 0:18 0:0: command-prompt
1748536366.208958 cmd_parse_build_commands 0:18 0:1: -I
1748536366.208960 cmd_parse_build_commands 0:18 0:2: #S
1748536366.208963 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1748536366.208965 cmd_parse_build_commands 0:18 0:3 0:1: --
1748536366.208967 cmd_parse_build_commands 0:18 0:3 0:2: %%
1748536366.208969 cmd_parse_build_commands 0:19: 
1748536366.208972 cmd_parse_build_commands 0:20: New Session
1748536366.208974 cmd_parse_build_commands 0:21: s
1748536366.208979 cmd_parse_build_commands 0:22 0:0: new-session
1748536366.208981 cmd_parse_build_commands 0:23: New Window
1748536366.208983 cmd_parse_build_commands 0:24: w
1748536366.208985 cmd_parse_build_commands 0:25 0:0: new-window
1748536366.208989 cmd_parse_build_commands 0:0: switch-client
1748536366.208991 cmd_parse_build_commands 0:1: -n
1748536366.208994 args_parse_flags: next -n
1748536366.208996 args_parse_flags: -n
1748536366.208998 args_parse: flags end at 2 of 2
1748536366.209002 cmd_parse_build_commands: switch-client -n
1748536366.209004 cmd_parse_build_commands 0:0: switch-client
1748536366.209006 cmd_parse_build_commands 0:1: -p
1748536366.209009 args_parse_flags: next -p
1748536366.209011 args_parse_flags: -p
1748536366.209014 args_parse: flags end at 2 of 2
1748536366.209017 cmd_parse_build_commands: switch-client -p
1748536366.209020 cmd_parse_build_commands 0:0: move-window
1748536366.209022 cmd_parse_build_commands 0:1: -r
1748536366.209025 args_parse_flags: next -r
1748536366.209027 args_parse_flags: -r
1748536366.209029 args_parse: flags end at 2 of 2
1748536366.209032 cmd_parse_build_commands: move-window -r
1748536366.209035 cmd_parse_build_commands 0:0: command-prompt
1748536366.209037 cmd_parse_build_commands 0:1: -I
1748536366.209039 cmd_parse_build_commands 0:2: #S
1748536366.209041 cmd_parse_build_commands 0:3 0:0: rename-session
1748536366.209043 cmd_parse_build_commands 0:3 0:1: --
1748536366.209045 cmd_parse_build_commands 0:3 0:2: %%
1748536366.209048 cmd_parse_build_commands 0:0: rename-session
1748536366.209050 cmd_parse_build_commands 0:1: --
1748536366.209052 cmd_parse_build_commands 0:2: %%
1748536366.209055 args_parse_flags: next --
1748536366.209057 args_parse: flags end at 2 of 3
1748536366.209059 args_parse: 2 = %% (type STRING)
1748536366.209063 cmd_parse_build_commands: rename-session "%%"
1748536366.209065 args_parse_flags: next -I
1748536366.209067 args_parse_flag_argument: -I = #S
1748536366.209069 args_parse: flags end at 3 of 4
1748536366.209073 args_parse: 3 = rename-session "%%" (type COMMANDS)
1748536366.209078 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1748536366.209081 cmd_parse_build_commands 0:0: new-session
1748536366.209083 args_parse: flags end at 1 of 1
1748536366.209086 cmd_parse_build_commands: new-session
1748536366.209089 cmd_parse_build_commands 0:0: new-window
1748536366.209092 args_parse: flags end at 1 of 1
1748536366.209094 cmd_parse_build_commands: new-window
1748536366.209097 args_parse_flags: next -t=
1748536366.209099 args_parse_flag_argument: -t = =
1748536366.209101 args_parse_flags: next -xM
1748536366.209103 args_parse_flag_argument: -x = M
1748536366.209105 args_parse_flags: next -yW
1748536366.209107 args_parse_flag_argument: -y = W
1748536366.209109 args_parse_flags: next -T
1748536366.209111 args_parse_flag_argument: -T = #[align=centre]#{session_name}
1748536366.209113 args_parse_flags: next Next
1748536366.209115 args_parse: flags end at 6 of 26
1748536366.209118 args_parse: 6 = Next (type STRING)
1748536366.209120 args_parse: 7 = n (type STRING)
1748536366.209123 args_parse: 8 = switch-client -n (type COMMANDS)
1748536366.209125 args_parse: 9 = Previous (type STRING)
1748536366.209127 args_parse: 10 = p (type STRING)
1748536366.209130 args_parse: 11 = switch-client -p (type COMMANDS)
1748536366.209133 args_parse: 12 =  (type STRING)
1748536366.209135 args_parse: 13 = Renumber (type STRING)
1748536366.209137 args_parse: 14 = N (type STRING)
1748536366.209140 args_parse: 15 = move-window -r (type COMMANDS)
1748536366.209143 args_parse: 16 = Rename (type STRING)
1748536366.209145 args_parse: 17 = n (type STRING)
1748536366.209150 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1748536366.209152 args_parse: 19 =  (type STRING)
1748536366.209155 args_parse: 20 = New Session (type STRING)
1748536366.209157 args_parse: 21 = s (type STRING)
1748536366.209160 args_parse: 22 = new-session (type COMMANDS)
1748536366.209162 args_parse: 23 = New Window (type STRING)
1748536366.209167 args_parse: 24 = w (type STRING)
1748536366.209169 args_parse: 25 = new-window (type COMMANDS)
1748536366.209194 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
1748536366.209197 args_parse_flags: next -n
1748536366.209199 args_parse_flags: -n
1748536366.209201 args_parse_flags: next MouseDown3StatusLeft
1748536366.209203 args_parse: flags end at 2 of 4
1748536366.209205 args_parse: 2 = MouseDown3StatusLeft (type STRING)
1748536366.209227 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1748536366.209252 cmd_parse_build_commands: bind-key -n MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } }
1748536366.209260 cmdq_get_command: [bind-key/0x125026710] group 966
1748536366.209263 cmdq_append <global>: [bind-key/0x125026710]
1748536366.209265 yylex_token: end at WS
1748536366.209268 yylex_token: bind
1748536366.209270 yylex_token: end at WS
1748536366.209272 yylex_token: -n
1748536366.209275 yylex_token: end at WS
1748536366.209277 yylex_token: M-MouseDown3StatusLeft
1748536366.209279 yylex_token: end at WS
1748536366.209281 yylex_token: display-menu
1748536366.209283 yylex_token: end at WS
1748536366.209286 yylex_token: -t=
1748536366.209288 yylex_token: end at WS
1748536366.209290 yylex_token: -xM
1748536366.209292 yylex_token: end at WS
1748536366.209294 yylex_token: -yW
1748536366.209296 yylex_token: end at WS
1748536366.209298 yylex_token: -T
1748536366.209301 yylex_token: end at WS
1748536366.209303 yylex_token: #[align=centre]#{session_name}
1748536366.209305 yylex_token: end at WS
1748536366.209307 yylex_token: Next
1748536366.209309 yylex_token: end at WS
1748536366.209311 yylex_token: n
1748536366.209314 yylex_token: end at WS
1748536366.209316 yylex_token: switch-client
1748536366.209318 yylex_token: end at }
1748536366.209320 yylex_token: -n
1748536366.209323 yylex_token: end at WS
1748536366.209325 yylex_token: Previous
1748536366.209327 yylex_token: end at WS
1748536366.209329 yylex_token: p
1748536366.209331 yylex_token: end at WS
1748536366.209333 yylex_token: switch-client
1748536366.209335 yylex_token: end at }
1748536366.209337 yylex_token: -p
1748536366.209339 yylex_token: end at WS
1748536366.209341 yylex_token: 
1748536366.209343 yylex_token: end at WS
1748536366.209345 yylex_token: Renumber
1748536366.209347 yylex_token: end at WS
1748536366.209349 yylex_token: N
1748536366.209352 yylex_token: end at WS
1748536366.209354 yylex_token: move-window
1748536366.209356 yylex_token: end at }
1748536366.209358 yylex_token: -r
1748536366.209360 yylex_token: end at WS
1748536366.209362 yylex_token: Rename
1748536366.209364 yylex_token: end at WS
1748536366.209366 yylex_token: n
1748536366.209369 yylex_token: end at WS
1748536366.209371 yylex_token: command-prompt
1748536366.209373 yylex_token: end at WS
1748536366.209375 yylex_token: -I
1748536366.209377 yylex_token: end at WS
1748536366.209379 yylex_token: #S
1748536366.209381 yylex_token: end at WS
1748536366.209383 yylex_token: rename-session
1748536366.209385 yylex_token: end at WS
1748536366.209387 yylex_token: --
1748536366.209389 yylex_token: end at }
1748536366.209391 yylex_token: %%
1748536366.209394 yylex_token: end at WS
1748536366.209396 yylex_token: 
1748536366.209399 yylex_token: end at WS
1748536366.209401 yylex_token: New Session
1748536366.209403 yylex_token: end at WS
1748536366.209409 yylex_token: s
1748536366.209412 yylex_token: end at }
1748536366.209415 yylex_token: new-session
1748536366.209418 yylex_token: end at WS
1748536366.209420 yylex_token: New Window
1748536366.209422 yylex_token: end at WS
1748536366.209424 yylex_token: w
1748536366.209426 yylex_token: end at }
1748536366.209429 yylex_token: new-window
1748536366.209432 cmd_parse_build_commands 0:0: bind
1748536366.209434 cmd_parse_build_commands 0:1: -n
1748536366.209437 cmd_parse_build_commands 0:2: M-MouseDown3StatusLeft
1748536366.209440 cmd_parse_build_commands 0:3 0:0: display-menu
1748536366.209444 cmd_parse_build_commands 0:3 0:1: -t=
1748536366.209446 cmd_parse_build_commands 0:3 0:2: -xM
1748536366.209448 cmd_parse_build_commands 0:3 0:3: -yW
1748536366.209451 cmd_parse_build_commands 0:3 0:4: -T
1748536366.209453 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{session_name}
1748536366.209455 cmd_parse_build_commands 0:3 0:6: Next
1748536366.209457 cmd_parse_build_commands 0:3 0:7: n
1748536366.209460 cmd_parse_build_commands 0:3 0:8 0:0: switch-client
1748536366.209462 cmd_parse_build_commands 0:3 0:8 0:1: -n
1748536366.209464 cmd_parse_build_commands 0:3 0:9: Previous
1748536366.209466 cmd_parse_build_commands 0:3 0:10: p
1748536366.209469 cmd_parse_build_commands 0:3 0:11 0:0: switch-client
1748536366.209471 cmd_parse_build_commands 0:3 0:11 0:1: -p
1748536366.209473 cmd_parse_build_commands 0:3 0:12: 
1748536366.209475 cmd_parse_build_commands 0:3 0:13: Renumber
1748536366.209478 cmd_parse_build_commands 0:3 0:14: N
1748536366.209480 cmd_parse_build_commands 0:3 0:15 0:0: move-window
1748536366.209483 cmd_parse_build_commands 0:3 0:15 0:1: -r
1748536366.209485 cmd_parse_build_commands 0:3 0:16: Rename
1748536366.209487 cmd_parse_build_commands 0:3 0:17: n
1748536366.209489 cmd_parse_build_commands 0:3 0:18 0:0: command-prompt
1748536366.209491 cmd_parse_build_commands 0:3 0:18 0:1: -I
1748536366.209493 cmd_parse_build_commands 0:3 0:18 0:2: #S
1748536366.209496 cmd_parse_build_commands 0:3 0:18 0:3 0:0: rename-session
1748536366.209498 cmd_parse_build_commands 0:3 0:18 0:3 0:1: --
1748536366.209500 cmd_parse_build_commands 0:3 0:18 0:3 0:2: %%
1748536366.209502 cmd_parse_build_commands 0:3 0:19: 
1748536366.209504 cmd_parse_build_commands 0:3 0:20: New Session
1748536366.209506 cmd_parse_build_commands 0:3 0:21: s
1748536366.209508 cmd_parse_build_commands 0:3 0:22 0:0: new-session
1748536366.209510 cmd_parse_build_commands 0:3 0:23: New Window
1748536366.209512 cmd_parse_build_commands 0:3 0:24: w
1748536366.209514 cmd_parse_build_commands 0:3 0:25 0:0: new-window
1748536366.209517 cmd_parse_build_commands 0:0: display-menu
1748536366.209519 cmd_parse_build_commands 0:1: -t=
1748536366.209521 cmd_parse_build_commands 0:2: -xM
1748536366.209523 cmd_parse_build_commands 0:3: -yW
1748536366.209525 cmd_parse_build_commands 0:4: -T
1748536366.209527 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1748536366.209529 cmd_parse_build_commands 0:6: Next
1748536366.209531 cmd_parse_build_commands 0:7: n
1748536366.209533 cmd_parse_build_commands 0:8 0:0: switch-client
1748536366.209535 cmd_parse_build_commands 0:8 0:1: -n
1748536366.209537 cmd_parse_build_commands 0:9: Previous
1748536366.209539 cmd_parse_build_commands 0:10: p
1748536366.209541 cmd_parse_build_commands 0:11 0:0: switch-client
1748536366.209543 cmd_parse_build_commands 0:11 0:1: -p
1748536366.209545 cmd_parse_build_commands 0:12: 
1748536366.209547 cmd_parse_build_commands 0:13: Renumber
1748536366.209549 cmd_parse_build_commands 0:14: N
1748536366.209551 cmd_parse_build_commands 0:15 0:0: move-window
1748536366.209553 cmd_parse_build_commands 0:15 0:1: -r
1748536366.209555 cmd_parse_build_commands 0:16: Rename
1748536366.209557 cmd_parse_build_commands 0:17: n
1748536366.209559 cmd_parse_build_commands 0:18 0:0: command-prompt
1748536366.209561 cmd_parse_build_commands 0:18 0:1: -I
1748536366.209563 cmd_parse_build_commands 0:18 0:2: #S
1748536366.209565 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1748536366.209570 cmd_parse_build_commands 0:18 0:3 0:1: --
1748536366.209572 cmd_parse_build_commands 0:18 0:3 0:2: %%
1748536366.209574 cmd_parse_build_commands 0:19: 
1748536366.209576 cmd_parse_build_commands 0:20: New Session
1748536366.209578 cmd_parse_build_commands 0:21: s
1748536366.209581 cmd_parse_build_commands 0:22 0:0: new-session
1748536366.209583 cmd_parse_build_commands 0:23: New Window
1748536366.209584 cmd_parse_build_commands 0:24: w
1748536366.209587 cmd_parse_build_commands 0:25 0:0: new-window
1748536366.209590 cmd_parse_build_commands 0:0: switch-client
1748536366.209592 cmd_parse_build_commands 0:1: -n
1748536366.209595 args_parse_flags: next -n
1748536366.209597 args_parse_flags: -n
1748536366.209599 args_parse: flags end at 2 of 2
1748536366.209602 cmd_parse_build_commands: switch-client -n
1748536366.209605 cmd_parse_build_commands 0:0: switch-client
1748536366.209607 cmd_parse_build_commands 0:1: -p
1748536366.209609 args_parse_flags: next -p
1748536366.209612 args_parse_flags: -p
1748536366.209614 args_parse: flags end at 2 of 2
1748536366.209617 cmd_parse_build_commands: switch-client -p
1748536366.209621 cmd_parse_build_commands 0:0: move-window
1748536366.209624 cmd_parse_build_commands 0:1: -r
1748536366.209627 args_parse_flags: next -r
1748536366.209630 args_parse_flags: -r
1748536366.209632 args_parse: flags end at 2 of 2
1748536366.209636 cmd_parse_build_commands: move-window -r
1748536366.209638 cmd_parse_build_commands 0:0: command-prompt
1748536366.209640 cmd_parse_build_commands 0:1: -I
1748536366.209642 cmd_parse_build_commands 0:2: #S
1748536366.209644 cmd_parse_build_commands 0:3 0:0: rename-session
1748536366.209646 cmd_parse_build_commands 0:3 0:1: --
1748536366.209648 cmd_parse_build_commands 0:3 0:2: %%
1748536366.209651 cmd_parse_build_commands 0:0: rename-session
1748536366.209653 cmd_parse_build_commands 0:1: --
1748536366.209655 cmd_parse_build_commands 0:2: %%
1748536366.209658 args_parse_flags: next --
1748536366.209660 args_parse: flags end at 2 of 3
1748536366.209662 args_parse: 2 = %% (type STRING)
1748536366.209665 cmd_parse_build_commands: rename-session "%%"
1748536366.209667 args_parse_flags: next -I
1748536366.209669 args_parse_flag_argument: -I = #S
1748536366.209671 args_parse: flags end at 3 of 4
1748536366.209674 args_parse: 3 = rename-session "%%" (type COMMANDS)
1748536366.209679 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1748536366.209682 cmd_parse_build_commands 0:0: new-session
1748536366.209684 args_parse: flags end at 1 of 1
1748536366.209687 cmd_parse_build_commands: new-session
1748536366.209690 cmd_parse_build_commands 0:0: new-window
1748536366.209692 args_parse: flags end at 1 of 1
1748536366.209695 cmd_parse_build_commands: new-window
1748536366.209697 args_parse_flags: next -t=
1748536366.209699 args_parse_flag_argument: -t = =
1748536366.209701 args_parse_flags: next -xM
1748536366.209703 args_parse_flag_argument: -x = M
1748536366.209705 args_parse_flags: next -yW
1748536366.209707 args_parse_flag_argument: -y = W
1748536366.209709 args_parse_flags: next -T
1748536366.209711 args_parse_flag_argument: -T = #[align=centre]#{session_name}
1748536366.209713 args_parse_flags: next Next
1748536366.209715 args_parse: flags end at 6 of 26
1748536366.209717 args_parse: 6 = Next (type STRING)
1748536366.209719 args_parse: 7 = n (type STRING)
1748536366.209722 args_parse: 8 = switch-client -n (type COMMANDS)
1748536366.209724 args_parse: 9 = Previous (type STRING)
1748536366.209726 args_parse: 10 = p (type STRING)
1748536366.209729 args_parse: 11 = switch-client -p (type COMMANDS)
1748536366.209731 args_parse: 12 =  (type STRING)
1748536366.209734 args_parse: 13 = Renumber (type STRING)
1748536366.209736 args_parse: 14 = N (type STRING)
1748536366.209739 args_parse: 15 = move-window -r (type COMMANDS)
1748536366.209741 args_parse: 16 = Rename (type STRING)
1748536366.209743 args_parse: 17 = n (type STRING)
1748536366.209748 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1748536366.209750 args_parse: 19 =  (type STRING)
1748536366.209755 args_parse: 20 = New Session (type STRING)
1748536366.209757 args_parse: 21 = s (type STRING)
1748536366.209760 args_parse: 22 = new-session (type COMMANDS)
1748536366.209762 args_parse: 23 = New Window (type STRING)
1748536366.209764 args_parse: 24 = w (type STRING)
1748536366.209767 args_parse: 25 = new-window (type COMMANDS)
1748536366.209790 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
1748536366.209793 args_parse_flags: next -n
1748536366.209795 args_parse_flags: -n
1748536366.209797 args_parse_flags: next M-MouseDown3StatusLeft
1748536366.209799 args_parse: flags end at 2 of 4
1748536366.209801 args_parse: 2 = M-MouseDown3StatusLeft (type STRING)
1748536366.209821 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1748536366.209844 cmd_parse_build_commands: bind-key -n M-MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } }
1748536366.209851 cmdq_get_command: [bind-key/0x125026610] group 1002
1748536366.209854 cmdq_append <global>: [bind-key/0x125026610]
1748536366.209856 yylex_token: end at WS
1748536366.209858 yylex_token: bind
1748536366.209860 yylex_token: end at WS
1748536366.209862 yylex_token: -n
1748536366.209864 yylex_token: end at WS
1748536366.209866 yylex_token: MouseDown3Status
1748536366.209869 yylex_token: end at WS
1748536366.209871 yylex_token: display-menu
1748536366.209873 yylex_token: end at WS
1748536366.209875 yylex_token: -t=
1748536366.209877 yylex_token: end at WS
1748536366.209878 yylex_token: -xW
1748536366.209880 yylex_token: end at WS
1748536366.209882 yylex_token: -yW
